name,party,firstname,lastname,position,years,key,start_date,end_date
"Luhtanen, Leena",SDP,Leena,Luhtanen,,1999-2003,Leena_Luhtanen,24.3.1999,18.3.2003
"Mikkola, Jukka",SDP,Jukka,Mikkola,,1999-2003,Jukka_Mikkola,24.3.1999,18.3.2003
"Mähönen, Raimo",SDP,Raimo,Mähönen,,1999-2003,Raimo_Mähönen,24.3.1999,18.3.2003
"Mönkäre, Sinikka",SDP,Sinikka,Mönkäre,Kauppa- ja teollisuusministeri;; Työministeri,1999-2003,Sinikka_Mönkäre,24.3.1999,18.3.2003
"Olin, Kalevi",SDP,Kalevi,Olin,,1999-2003,Kalevi_Olin,24.3.1999,18.3.2003
"Peltomo, Pirkko",SDP,Pirkko,Peltomo,,1999-2003,Pirkko_Peltomo,24.3.1999,18.3.2003
"Prusti, Riitta",SDP,Riitta,Prusti,,1999-2003,Riitta_Prusti,24.3.1999,18.3.2003
"Puisto, Virpa",SDP,Virpa,Puisto,,1999-2003,Virpa_Puisto,24.3.1999,18.3.2003
"Rahkonen, Susanna",SDP,Susanna,Rahkonen,,1999-2003,Susanna_Rahkonen,24.3.1999,18.3.2003
"Ranta, Jussi",SDP,Jussi,Ranta,,1999-2003,Jussi_Ranta,24.3.1999,18.3.2003
"Rask, Maija",SDP,Maija,Rask,Opetusministeri,1999-2003,Maija_Rask,24.3.1999,18.3.2003
"Rönni, Tero",SDP,Tero,Rönni,,1999-2003,Tero_Rönni,24.3.1999,18.3.2003
"Saarinen, Matti",SDP,Matti,Saarinen,,1999-2003,Matti_Saarinen,24.3.1999,18.3.2003
"Seppälä, Arto",SDP,Arto,Seppälä,,1999-2003,Arto_Seppälä,24.3.1999,18.3.2003
"Tahvanainen, Säde",SDP,Säde,Tahvanainen,,1999-2003,Säde_Tahvanainen,24.3.1999,18.3.2003
"Vehkaoja, Marjatta",SDP,Marjatta,Vehkaoja,,1999-2003,Marjatta_Vehkaoja,24.3.1999,18.3.2003
"Vähänäkki, Matti",SDP,Matti,Vähänäkki,,1999-2003,Matti_Vähänäkki,24.3.1999,18.3.2003
"Wallin, Harry",SDP,Harry,Wallin,,1999-2003,Harry_Wallin,24.3.1999,18.3.2003
"Hellberg, Klaus",SDP,Klaus,Hellberg,,1999-2003,Klaus_Hellberg,24.3.1999,18.3.2003
"Kuisma, Risto",remonttiryhmä,Risto,Kuisma,,1999-2003,Risto_Kuisma,24.3.1999,18.3.2003
"Ahde, Matti",SDP,Matti,Ahde, ,2003-2007,Matti_Ahde,19.3.2003,20.3.2007
"Ahonen, Esko",Keskusta,Esko,Ahonen, ,2003-2007,Esko_Ahonen,19.3.2003,20.3.2007
"Akaan-Penttilä, Eero",Kokoomus,Eero,Akaan-Penttilä, ,2003-2007,Eero_Akaan-Penttilä,19.3.2003,20.3.2007
"Ala-Nissilä, Olavi",Keskusta,Olavi,Ala-Nissilä, ,2003-2007,Olavi_Ala-Nissilä,19.3.2003,20.3.2007
"Alatalo, Mikko",Keskusta,Mikko,Alatalo, ,2003-2007,Mikko_Alatalo,19.3.2003,20.3.2007
"Alho, Arja",SDP,Arja,Alho, ,2003-2007,Arja_Alho,19.3.2003,20.3.2007
"Andersson, Janina",Vihreät,Janina,Andersson, ,2003-2007,Janina_Andersson,19.3.2003,20.3.2007
